task_id,priority,destination_uwi,planned_start,duration_hours,task_type,shift
T-2025-0001,medium,JET_0944,2025-02-20T11:00:00,2.0,ТР-11,day
T-2025-0002,medium,ASA_0810,2025-02-22T02:00:00,1.2,ТР-11,night
T-2025-0003,medium,ASA_0070,2025-02-22T11:00:00,6.0,СК5-2,day
T-2025-0004,medium,JET_4747,2025-02-21T08:00:00,6.3,103,day
T-2025-0005,medium,JET_0313,2025-02-20T13:00:00,1.7,ТР4-12,day
T-2025-0006,high,JET_4817,2025-02-21T20:00:00,6.1,ТР6-4,night
T-2025-0007,high,ASA_0729,2025-02-22T00:00:00,6.8,ТР6-4,night
T-2025-0008,low,JET_0470,2025-02-22T09:00:00,1.3,103,day
T-2025-0009,low,JET_0761,2025-02-20T02:00:00,2.9,СК5-2,night
T-2025-0010,low,JET_1319,2025-02-20T18:00:00,2.9,СК5-2,day
T-2025-0011,medium,JET_0377,2025-02-22T11:00:00,2.1,ТР4-12,day
T-2025-0012,medium,JET_5504,2025-02-22T23:00:00,5.8,КР1105,night
T-2025-0013,low,ASA_0134,2025-02-21T14:00:00,2.9,103,day
T-2025-0014,low,JET_5717,2025-02-21T11:00:00,5.6,ТР4-12,day
T-2025-0015,low,JET_0251,2025-02-21T10:00:00,2.7,ТР6-4,day
T-2025-0016,medium,JET_2359,2025-02-22T02:00:00,3.5,103,night
T-2025-0017,medium,ASA_0238,2025-02-20T10:00:00,5.4,КР1105,day
T-2025-0018,medium,JET_1944,2025-02-21T17:00:00,8.0,ТР6-4,day
T-2025-0019,medium,ASA_0006,2025-02-22T09:00:00,5.8,ТР6-4,day
T-2025-0020,low,JET_1245,2025-02-20T00:00:00,4.0,ТР4-12,night
T-2025-0021,high,JET_5730,2025-02-21T04:00:00,6.3,ТР6-4,night
T-2025-0022,low,JET_1063,2025-02-22T04:00:00,5.3,103,night
T-2025-0023,medium,VOS_0004,2025-02-22T08:00:00,5.2,ТР4-12,day
T-2025-0024,high,JET_1100,2025-02-20T20:00:00,2.7,ТР6-4,night
T-2025-0025,low,JET_2960,2025-02-20T16:00:00,6.4,103,day
